"Département","Circonscription","Première place","Seconde place","Troisième place","Quatrième place"
"Loire","2e circonscription de la Loire","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Andrée TAURINYA (43.09%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Hervé BREUIL (27.13%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-UDI</span> Eric LE JAOUEN (23.08%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Loire","3e circonscription de la Loire","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Angelina LA MARCA (40.89%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> Emmanuel MANDON (29.11%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PCF</span> <s>Vincent BONY (27.34%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Loire","4e circonscription de la Loire","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Gerbert RAMBAUD (40.8%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Sylvie BONNET (30.72%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Bernard PAEMELAERE (26.54%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Loire","5e circonscription de la Loire","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Antoine VERMOREL-MARQUES (41.99%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Sandrine GRANGER (36.09%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Ismaël STEVENSON (18.35%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Haute-Loire","1ère circonscription de la Haute-Loire","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Laurent WAUQUIEZ (36.8%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Alexandre HEUZEY (34.18%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> <s>Celline GACON (18.66%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Haute-Loire","2e circonscription de la Haute-Loire","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Jean-Pierre VIGIER (38.69%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Suzanne Maryse Denise FOURETS (32.08%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Andre Antoine Célestin CHAPAVEIRE (19.55%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Loire-Atlantique","1ère circonscription de la Loire-Atlantique","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Karim BENBRAHIM (43.2%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Mounir BELHAMITI (37.39%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Bryan PECQUEUR (18.13%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Loire-Atlantique","3e circonscription de la Loire-Atlantique","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Ségolène AMIOT (44.55%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Matthieu ANNEREAU (24.57%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Laurie ARC (20.43%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Loire-Atlantique","4e circonscription de la Loire-Atlantique","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> Julie LAERNOES (46.83%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Aude AMADOU (22.66%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Gaëlle PINEAU (20.06%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Loire-Atlantique","5e circonscription de la Loire-Atlantique","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Fabrice ROUSSEL (37.73%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> Sarah EL HAÏRY (36.17%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Bruno COMBY (24.73%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
