"Département","Circonscription","Première place","Seconde place","Troisième place","Quatrième place"
"Maine-et-Loire","4e circonscription de Maine-et-Loire","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Aurore LAHONDÈS (34.9%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Laëtitia SAINT-PAUL (34.87%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PCF</span> <s>Charlyne BOUVET (20.59%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Maine-et-Loire","5e circonscription de Maine-et-Loire","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Denis MASSEGLIA (33.7%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> <s>Gilles BOURDOULEIX (30.54%)</s></p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> France MOREAU (21.33%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Maine-et-Loire","6e circonscription de Maine-et-Loire","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Nicole DUBRE CHIRAT (35.28%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Tim PAVAGEAU (28.82%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Sylvie GABIN (24.79%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Maine-et-Loire","7e circonscription de Maine-et-Loire","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> Philippe BOLO (33.86%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Guillaume JOUANNEAU (29.07%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Clémence LASCAUD (27.38%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Manche","3e circonscription de la Manche","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Pierre GIRY (33.89%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Stéphane TRAVERT (33.24%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PCF</span> <s>Gaëlle VEROVE (20.01%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Marne","1ère circonscription de la Marne","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>DVD</span> Adrien MEXIS (37.3%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> Xavier ALBERTINI (33.84%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> <s>Evelyne BOURGOIN (27.05%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Marne","2e circonscription de la Marne","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Anne-Sophie FRIGOUT (36.34%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Laure MILLER (30.39%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Stéphane PIROUELLE (21.75%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Haute-Marne","1ère circonscription de la Haute-Marne","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Christophe BENTZ (48.83%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> Bérangère ABBA (28.05%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Benjamin LAMBERT (20.38%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Mayenne","1ère circonscription de la Mayenne","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Guillaume GAROT (45.39%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Paule VEYRE DE SORAS (28.59%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-UDI</span> <s>Vincent SAULNIER (20.1%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Mayenne","2e circonscription de la Mayenne","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> Géraldine BANNIER (35.17%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Jean-Michel CADENAS (31.79%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> <s>Grégory BOISSEAU (22.77%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Mayenne","3e circonscription de la Mayenne","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> Yannick FAVENNEC (48.68%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Annie BELL (31.11%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Stéphanie LEFOULON (19.18%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Meurthe-et-Moselle","1ère circonscription de Meurthe-et-Moselle","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Estelle MERCIER (37.73%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Patricia MELET (26.9%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Philippe GUILLEMARD (26.38%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Meurthe-et-Moselle","2e circonscription de Meurthe-et-Moselle","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Stéphane HABLOT (39.91%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Emmanuel LACRESSE (30.74%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Geneviève MAILLOT (22.45%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Meurthe-et-Moselle","4e circonscription de Meurthe-et-Moselle","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Dominique BILDE (43.7%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Thibault BAZIN (33.21%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> <s>Barbara BERTOZZI-BIÉVELOT (20.59%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Morbihan","1ère circonscription du Morbihan","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> Anne LE HÉNANFF (42.13%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Anne GALLO (28.24%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Joseph MARTIN (25.37%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Morbihan","2e circonscription du Morbihan","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> Jimmy PAHUN (32.14%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Florent DE KERSAUSON (30.03%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Jade BENIGUEL (25.8%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Morbihan","3e circonscription du Morbihan","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Antoine OLIVIERO (35.85%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Nicole LE PEIH (26.57%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Marie Madeleine DORÉ-LUCAS (20.41%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Morbihan","5e circonscription du Morbihan","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> Damien GIRARD (35.56%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Lysiane MÉTAYER (34.6%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Aurélie LE GOFF (27.9%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Morbihan","6e circonscription du Morbihan","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Nathalie GUIHOT-VIEIRA (34.69%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Jean-Michel JACQUES (33.08%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Jean-Michel BAUDRY (23.75%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Moselle","1ère circonscription de la Moselle","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Grégoire LALOUX (39.81%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Belkhir BELHADDAD (27.59%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Vincent FELIX (26.1%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Moselle","2e circonscription de la Moselle","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Marie-Claude VOINCON (37.48%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Ludovic MENDES (30.22%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Victorien NICOLAS (26.61%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Moselle","3e circonscription de la Moselle","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Victor CHOMARD (35.32%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>UDI</span> Nathalie COLIN-OESTERLÉ (34.66%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Charlotte LEDUC (28.27%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Moselle","9e circonscription de la Moselle","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Baptiste PHILIPPO (38.29%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> Isabelle RAUCH (35.12%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Brigitte VAÎSSE (22.84%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Nièvre","1ère circonscription de la Nièvre","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Charles-Henri GALLOIS (40.81%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> Perrine GOULET (29.4%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Brice LARÈPE (21.32%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Nièvre","2e circonscription de la Nièvre","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Julien GUIBERT (44.82%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Christian PAUL (26.32%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Sandra GERMAIN (20.44%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Nord","2e circonscription du Nord","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Ugo BERNALICIS (47.31%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Philippe GUÉRARD (21.89%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Violette SALANON (20.77%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Nord","4e circonscription du Nord","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Brigitte LISO (31.32%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Charlotte BRUN (29.58%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Anne MORAND (25.98%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Nord","5e circonscription du Nord","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Victor CATTEAU (40.08%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>DVD</span> Sébastien HUYGHE (34.37%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Ophélie DELNESTE (24.26%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Nord","6e circonscription du Nord","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Charlotte PARMENTIER-LECOCQ (38.09%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Marie Hélène QUATREBOEUFS (35.07%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Célia PEREIRA (19.53%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Nord","7e circonscription du Nord","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> Félicie GERARD (36.71%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> Karima CHOUIA (32.19%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Céline SAYAH (28.15%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Nord","9e circonscription du Nord","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Violette SPILLEBOUT (34.01%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> Odile VIDAL-SAGNIER (31.12%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Christine LANDRU (20.67%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Nord","10e circonscription du Nord","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Gérald DARMANIN (36.03%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Bastien VERBRUGGHE (34.31%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Leslie MORTREUX (24.82%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Nord","11e circonscription du Nord","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Roger VICOT (38.49%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Maxime MOULIN (31.47%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Ingrid BRULANT-FORTIN (27.94%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Nord","13e circonscription du Nord","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Maxence ACCART (43.52%)</p>","<p style='margin:4px;'><span style='background-color:#777F7F; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>DIV</span> Julien GOKEL (32.2%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Damien LACROIX (21.92%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Nord","21e circonscription du Nord","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Laurence BARA (43.61%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>UDI</span> Valérie LÉTARD (29.19%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Pierrick COLPIN (23.08%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Oise","6e circonscription de l'Oise","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Michel GUINIOT (47.88%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-UDI</span> Daniel LECA (22.93%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> <s>Baptiste DE FRESSE DE MONVAL (20.46%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Oise","7e circonscription de l'Oise","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> David MAGNIER (40.43%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PCF</span> Loïc PEN (27.18%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Maxime MINOT (21.52%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Orne","1ère circonscription de l'Orne","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Nadine BELZIDSKY (35.18%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Chantal JOURDAN (27.33%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Patricia CHAPELOTTE (21.52%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Orne","3e circonscription de l'Orne","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>DVD</span> Jérôme NURY (43.67%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Ludmila PETCHENINA (32.41%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Lori HELLOCO (21.07%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Pas-de-Calais","2e circonscription du Pas-de-Calais","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Alban HEUSÈLE (37.31%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Agnès PANNIER-RUNACHER (21.54%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> <s>Alexandre COUSIN (20.12%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Pas-de-Calais","5e circonscription du Pas-de-Calais","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Antoine GOLLIOT (43.15%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Olivier BARBARIN (28.97%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Jean-Pierre PONT (20.88%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Puy-de-Dôme","1ère circonscription du Puy-de-Dôme","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Marianne MAXIMI (38.14%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Louis CLÉMENT (27.5%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> Hervé PRONONCE (24.08%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Puy-de-Dôme","3e circonscription du Puy-de-Dôme","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> Nicolas BONNET (31.72%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> Laurence VICHNIEVSKY (26.03%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Nadine PERS (25.93%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Puy-de-Dôme","4e circonscription du Puy-de-Dôme","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Benjamin CHALUS (31.63%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> Delphine LINGEMANN (27.38%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Valérie GOLÉO (26.63%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
