,time,latitude,longitude,frpfire,fire_range
3748950,2022-07-21T00:00:00,-14.15,135.05,2.4206942504321702,1-5
3750556,2022-07-21T00:00:00,-14.15,295.65,2.226171663265217,1-5
3752547,2022-07-21T00:00:00,-14.25,134.75,2.3187880614966607,1-5
3752548,2022-07-21T00:00:00,-14.25,134.85,2.359325330023493,1-5
3752641,2022-07-21T00:00:00,-14.25,144.15,2.05529581607225,1-5
3774119,2022-07-21T00:00:00,-14.85,131.95,1.7591485487790015,1-5
3774120,2022-07-21T00:00:00,-14.85,132.05,5.253798906363016,5-10
3775789,2022-07-21T00:00:00,-14.85,298.95,2.2413731389627793,1-5
3797357,2022-07-21T00:00:00,-15.45,295.75,1.0063939929404597,1-5
3817369,2022-07-21T00:00:00,-16.05,136.95,1.575041787552971,1-5
3822587,2022-07-21T00:00:00,-16.15,298.75,3.8518850364767268,1-5
3862197,2022-07-21T00:00:00,-17.25,299.75,1.650767657231567,1-5
3865798,2022-07-21T00:00:00,-17.35,299.85,1.1333544658960246,1-5
3876543,2022-07-21T00:00:00,-17.65,294.35,1.1327914482775974,1-5
3995424,2022-07-21T00:00:00,-20.95,302.45,1.0466497526580785,1-5
3997646,2022-07-21T00:00:00,-21.05,164.65,1.6420408841459295,1-5
4150214,2022-07-21T00:00:00,-25.25,301.45,1.8877980745898517,1-5
4214976,2022-07-21T00:00:00,-27.05,297.65,1.2487730776738122,1-5
4218576,2022-07-21T00:00:00,-27.15,297.65,2.796790019542227,1-5
4229375,2022-07-21T00:00:00,-27.45,297.55,2.07584595914488,1-5
4243771,2022-07-21T00:00:00,-27.85,297.15,1.1448963270738037,1-5
4512255,2022-07-21T00:00:00,-35.35,145.55,1.3965652025112218,1-5
7251199,2022-07-22T00:00:00,68.55,79.95,1.170513628712289,1-5
7514655,2022-07-22T00:00:00,61.25,145.55,1.6265578996391534,1-5
7524763,2022-07-22T00:00:00,60.95,76.35,1.008083045795745,1-5
7532676,2022-07-22T00:00:00,60.75,147.65,1.252151183384381,1-5
7536234,2022-07-22T00:00:00,60.65,143.45,2.6929132689422186,1-5
7540737,2022-07-22T00:00:00,60.55,233.75,4.241211719619847,1-5
7540738,2022-07-22T00:00:00,60.55,233.85,7.262082751296508,5-10
7543364,2022-07-22T00:00:00,60.45,136.45,1.58799119277682,1-5
7544338,2022-07-22T00:00:00,60.45,233.85,1.741413493798512,1-5
7544339,2022-07-22T00:00:00,60.45,233.95,5.314886317962479,5-10
7546963,2022-07-22T00:00:00,60.35,136.35,3.1202436413292443,1-5
7546964,2022-07-22T00:00:00,60.35,136.45,3.0571856680652827,1-5
7579345,2022-07-22T00:00:00,59.45,134.55,4.720902730520698,1-5
7579378,2022-07-22T00:00:00,59.45,137.85,1.3146461390299145,1-5
7579379,2022-07-22T00:00:00,59.45,137.95,1.4173968543930666,1-5
7582944,2022-07-22T00:00:00,59.35,134.45,3.210889477896189,1-5
7582949,2022-07-22T00:00:00,59.35,134.95,3.058311703302139,1-5
7582977,2022-07-22T00:00:00,59.35,137.75,1.2479285512461695,1-5
7582978,2022-07-22T00:00:00,59.35,137.85,2.3255442729177993,1-5
7582979,2022-07-22T00:00:00,59.35,137.95,4.40082721444425,1-5
7582980,2022-07-22T00:00:00,59.35,138.05,1.4278126803339886,1-5
7593764,2022-07-22T00:00:00,59.05,136.45,2.4054927747346078,1-5
7597372,2022-07-22T00:00:00,58.95,137.25,5.845530423331084,5-10
7597373,2022-07-22T00:00:00,58.95,137.35,4.208838206560224,1-5
7604536,2022-07-22T00:00:00,58.75,133.65,1.0291962064868034,1-5
7604562,2022-07-22T00:00:00,58.75,136.25,2.1099085250597875,1-5
7604565,2022-07-22T00:00:00,58.75,136.55,1.3160536830759852,1-5
7608161,2022-07-22T00:00:00,58.65,136.15,1.2524326921935955,1-5
7608179,2022-07-22T00:00:00,58.65,137.95,1.1119597963957517,1-5
7611761,2022-07-22T00:00:00,58.55,136.15,5.573311404821036,5-10
7611762,2022-07-22T00:00:00,58.55,136.25,1.0660738604938516,1-5
7611763,2022-07-22T00:00:00,58.55,136.35,3.777285202034987,1-5
7611765,2022-07-22T00:00:00,58.55,136.55,3.8952373930957007,1-5
7615362,2022-07-22T00:00:00,58.45,136.25,2.013914021117775,1-5
7618938,2022-07-22T00:00:00,58.35,133.85,4.47542704888599,1-5
7618939,2022-07-22T00:00:00,58.35,133.95,1.817139363477109,1-5
7618941,2022-07-22T00:00:00,58.35,134.15,3.0600007561574234,1-5
7618954,2022-07-22T00:00:00,58.35,135.45,1.0294777152960162,1-5
7622539,2022-07-22T00:00:00,58.25,133.95,2.92769161582679,1-5
7622541,2022-07-22T00:00:00,58.25,134.15,3.4296218226555553,1-5
7622545,2022-07-22T00:00:00,58.25,134.55,1.233290093167036,1-5
