"code_entite","lat","long","surface_bv","type","date","nom_site","mesure_2024","moyenne_historique","rapport","rapport_categorie","colour_categ","rapport_label","popup_html"
"J7353010",48.1286006,-1.9441964,473.1,"site",2024-02-13,"Le Meu à Montfort-sur-Meu",10356.2857142857,8632.11428571429,19.973917993936,"sup à 15%","#c6dbef","+20,0%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+20,0%</span> par rapport à la moyenne 1990-2020 à cette période."
"J7364220",48.0089431,-2.0395354,9.9,"site",2024-02-13,"La Chèze à Plélan-le-Grand",415.714285714286,268.652380952381,54.7405923746389,"sup à 50%","#9ecae1","+54,7%","Débit moyen au 13 février 2024: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+54,7%</span> par rapport à la moyenne 1990-2020 à cette période."
"J7483010",48.0232605,-1.7065932,786.5,"site",2024-02-13,"La Seiche à Bruz et à Pont-Péan",20323.2857142857,13834.3142857143,46.9049010638142,"sup à 15%","#c6dbef","+46,9%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+46,9%</span> par rapport à la moyenne 1990-2020 à cette période."
"J7500610",47.9929023,-1.7550655,3295.84,"site",2024-02-13,"La Vilaine à Guichen et à Bourg-des-Comptes",80707.7142857143,58122.1083743842,38.8588895740818,"sup à 15%","#c6dbef","+38,9%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+38,9%</span> par rapport à la moyenne 1990-2020 à cette période."
"J7513010",47.9954076,-1.9932951,24.8,"site",2024-02-13,"Le Canut [nord] à Maxent",1207.42857142857,624.12380952381,93.4597836204656,"sup à 50%","#9ecae1","+93,5%","Débit moyen au 13 février 2024: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+93,5%</span> par rapport à la moyenne 1990-2020 à cette période."
"J7633010",47.8601273,-1.6298329,404.1,"site",2024-02-13,"Le Semnon à Bain-de-Bretagne",16224.7142857143,8416.1619047619,92.7804439757069,"sup à 50%","#9ecae1","+92,8%","Débit moyen au 13 février 2024: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+92,8%</span> par rapport à la moyenne 1990-2020 à cette période."
"J7824010",47.713194,-1.6898486,111.9,"site",2024-02-13,"L'Aron à Grand-Fougeray et à Mouais",3621.28571428571,2167.11904761905,67.1013744383037,"sup à 50%","#9ecae1","+67,1%","Débit moyen au 13 février 2024: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+67,1%</span> par rapport à la moyenne 1990-2020 à cette période."
"J7833010",47.7005228,-1.7038256,350.3,"site",2024-02-13,"La Chère à Derval et à Pierric",11972,6779.01904761905,76.6037226905985,"sup à 50%","#9ecae1","+76,6%","Débit moyen au 13 février 2024: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+76,6%</span> par rapport à la moyenne 1990-2020 à cette période."
"J7953010",47.6160519,-1.7476912,574.5,"site",2024-02-10,"Le Don à Conquereuil et à Guémené-Penfao",39726,9898.53333333333,301.332183892563,"sup à 300%","#08519c","+301,3%","Débit moyen au 10 février 2024: <span style='background: #08519c; display: inline-block; padding: 2px; padding-bottom:0'>+301,3%</span> par rapport à la moyenne 1990-2020 à cette période."
"J7973010",47.7762193,-1.9793933,39.96,"site",2024-02-13,"Le Canut [sud] à Saint-Just",1473.85714285714,846.366666666667,74.1393182061131,"sup à 50%","#9ecae1","+74,1%","Débit moyen au 13 février 2024: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+74,1%</span> par rapport à la moyenne 1990-2020 à cette période."
"J8002310",48.3219674,-2.9653003,28.4,"site",2024-02-13,"L'Oust à Saint-Martin-des-Prés",872,891.423809523809,-2.17896463122127,"inf à 0%","#feedde","-2,2%","Débit moyen au 13 février 2024: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-2,2%</span> par rapport à la moyenne 1990-2020 à cette période."
"J8022310",48.1585191,-2.8167758,251.3,"site",2024-02-13,"L'Oust à Hémonstoir",9505,9021.9,5.35474789124243,"0 et 15%","#eff3ff","+5,4%","Débit moyen au 13 février 2024: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+5,4%</span> par rapport à la moyenne 1990-2020 à cette période."
"J8133010",48.2019862,-2.6221149,298.4,"site",2024-02-13,"Le Lié à la Prénessaye et à Plémet",8719.71428571429,8428.13333333333,3.4596148500375,"0 et 15%","#eff3ff","+3,5%","Débit moyen au 13 février 2024: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+3,5%</span> par rapport à la moyenne 1990-2020 à cette période."
"J8202310",47.9988719,-2.6529013,907,"site",2024-02-13,"Le canal de Nantes à Brest [L'Oust] à Pleugriffet",29026.4285714286,28791.906122449,0.814542976009307,"0 et 15%","#eff3ff","+0,8%","Débit moyen au 13 février 2024: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+0,8%</span> par rapport à la moyenne 1990-2020 à cette période."
"J8363110",47.9946359,-2.3686393,300.25,"site",2024-02-13,"L'Yvel à Loyat",7861.57142857143,6271.25238095238,25.3588749266305,"sup à 15%","#c6dbef","+25,4%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+25,4%</span> par rapport à la moyenne 1990-2020 à cette période."
"J8433010",47.8259198,-2.7026711,134.7,"site",2024-02-13,"La Claie à Saint-Jean-Brévelay",6979.28571428571,4114.55714285714,69.6242261795229,"sup à 50%","#9ecae1","+69,6%","Débit moyen au 13 février 2024: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+69,6%</span> par rapport à la moyenne 1990-2020 à cette période."
"J8502310",47.7391048,-2.2569616,2453.5,"site",2024-02-13,"Le canal de Nantes à Brest [L'Oust] à Saint-Gravé",95050.8571428571,66155.2666666667,43.6784430509292,"sup à 15%","#c6dbef","+43,7%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+43,7%</span> par rapport à la moyenne 1990-2020 à cette période."
"J8602410",47.9823297,-2.1429934,29,"site",2024-02-13,"L'Aff à Paimpont",851.857142857143,653.738095238095,30.3055687074335,"sup à 15%","#c6dbef","+30,3%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+30,3%</span> par rapport à la moyenne 1990-2020 à cette période."
"J8632410",47.8289763,-2.0739095,344.85,"site",2024-02-13,"L'Aff à Quelneuc",11574.7142857143,7664.25238095238,51.0220920501054,"sup à 50%","#9ecae1","+51,0%","Débit moyen au 13 février 2024: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+51,0%</span> par rapport à la moyenne 1990-2020 à cette période."
"J8813010",47.7169439,-2.4318294,141.48,"site",2024-02-13,"L'Arz à Molac",8671.85714285714,5612.20476190476,54.5178323093462,"sup à 50%","#9ecae1","+54,5%","Débit moyen au 13 février 2024: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+54,5%</span> par rapport à la moyenne 1990-2020 à cette période."
"K0100020",44.8890497,3.9218828,432,"site",2024-02-13,"La Loire à Goudet",2882.85714285714,4743.82380952381,-39.2292534754463,"inf à -15%","#fdbe85","-39,2%","Débit moyen au 13 février 2024: <span style='background: #fdbe85; display: inline-block; padding: 2px; padding-bottom:0'>-39,2%</span> par rapport à la moyenne 1990-2020 à cette période."
